,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
299,Longido,-2.73,36.68,60.22,87,6,8.81,TZ,1596671058
300,Rupert,42.62,-113.68,96.8,13,1,6.93,US,1596671058
301,Beyneu,45.32,55.2,70.39,55,30,4.99,KZ,1596671058
302,Poli,-3.33,36.8,55.78,96,29,3.15,TZ,1596671058
303,Westerly,41.38,-71.83,80.6,61,1,5.82,US,1596671059
304,Norsup,-16.07,167.38,78.8,78,40,8.05,VU,1596671059
305,Lebu,-37.62,-73.65,47.62,77,24,5.14,CL,1596671059
306,Nishihara,26.18,127.76,86.0,70,20,6.93,JP,1596671060
307,Waingapu,-9.66,120.26,75.25,66,18,5.86,ID,1596671060
308,Malacky,48.44,17.02,60.01,100,21,4.85,SK,1596671060
309,Sergeevka,53.88,67.42,61.92,77,0,7.34,KZ,1596671060
310,Abu Samrah,35.3,37.18,71.01,78,0,13.31,SY,1596671060
311,Khani,41.96,42.96,68.0,100,90,2.24,GE,1596671061
312,Camaná,-16.62,-72.71,57.69,77,58,3.51,PE,1596671061
313,Richmond,37.55,-77.46,84.2,74,20,5.82,US,1596671020
314,Liuzhou,24.31,109.39,79.86,84,86,5.3,CN,1596671061
315,Mount Isa,-20.73,139.5,75.2,44,0,10.29,AU,1596671062
316,Baghdad,33.34,44.4,86.0,37,0,4.7,IQ,1596670869
317,Cherkasskoye,52.43,47.22,66.65,94,0,8.72,RU,1596671062
318,Plyussa,58.43,29.37,54.34,91,68,4.43,RU,1596671062
319,Saint-Philippe,-21.36,55.77,62.6,63,75,6.93,RE,1596671062
320,Vikhorevka,56.12,101.16,57.2,93,100,2.24,RU,1596671063
321,Tiksi,71.69,128.87,60.24,60,99,13.73,RU,1596671063
322,Overath,50.93,7.28,72.0,48,0,2.24,DE,1596671063
323,Shar,49.59,81.05,62.15,67,0,9.08,KZ,1596671063
324,Souillac,-20.52,57.52,66.2,72,75,9.17,MU,1596671064
325,Alice Springs,-23.7,133.88,51.8,100,90,5.82,AU,1596670941
326,Khorinsk,52.17,109.77,63.77,75,60,8.5,RU,1596671064
327,Bida,9.08,6.02,73.89,92,100,5.7,NG,1596671064
328,Forest,37.36,-79.29,84.2,62,1,3.36,US,1596671065
329,Kudymkar,59.02,54.66,57.45,97,2,2.82,RU,1596671065
330,Arman',59.7,150.17,66.13,47,0,4.09,RU,1596671065
331,Zorritos,-3.68,-80.68,67.68,77,47,12.3,PE,1596671065
332,Wajima,37.4,136.9,80.6,83,49,4.7,JP,1596671066
333,Oriximiná,-1.77,-55.87,81.97,55,23,2.3,BR,1596671067
334,Comodoro Rivadavia,-45.87,-67.5,50.0,37,62,27.51,AR,1596671007
335,Grindavik,63.84,-22.43,48.2,100,75,13.87,IS,1596671067
336,São Gabriel da Cachoeira,-0.13,-67.09,73.9,93,73,1.86,BR,1596671068
337,Salta,-24.79,-65.41,71.6,43,0,8.05,AR,1596671068
338,Carutapera,-1.2,-46.02,76.68,85,7,5.88,BR,1596671068
339,Kologriv,58.83,44.32,59.65,86,100,4.09,RU,1596671068
340,Bhadrāchalam,17.67,80.88,75.83,92,100,4.63,IN,1596671069
341,Bud,39.45,-86.18,71.6,53,90,3.33,US,1596671069
342,Maraã,-1.83,-65.37,76.33,86,73,1.9,BR,1596671069
343,Boyabat,41.47,34.77,61.86,63,0,1.57,TR,1596671070
344,Hammerfest,70.66,23.68,48.2,100,72,3.36,NO,1596671070
345,Remanso,-9.62,-42.08,74.03,60,20,14.34,BR,1596671063
346,Nesbyen,60.57,9.1,52.0,92,80,2.89,NO,1596671070
347,Chumikan,54.72,135.31,56.39,72,0,11.86,RU,1596670888
348,Mahon,39.89,4.27,71.6,73,0,2.53,ES,1596671024
349,Rivadavia,-33.19,-68.46,62.6,51,0,2.24,AR,1596671071
350,Roseburg,43.22,-123.34,80.01,47,1,8.05,US,1596671071
351,Cristinápolis,-11.48,-37.76,65.91,96,21,4.99,BR,1596671072
352,Serenje,-13.23,30.24,57.56,56,0,7.49,ZM,1596671072
